164,"Бандери, 69 Близенько 2.00 грн"
327,"Веливока, 9 Близенько 2.00"
205,"Винники, Винна гора, 10б Близенько 2.00 грн"
126,"Винники, Сахарова, 10 Близенько 2.00 грн"
251,"Винники, Франка, 53 Близенько 1.50 грн"
154,"Гайдамацька, 9а Близенько 2.00 грн"
268,"Городоцька, 45 Близенько 2.00 грн"
51,"Грінченка, 6 Близенько 1.50 грн"
195,"Грушевського, 7/9 Близенько 2.00 грн"
55,"Довбуша, 1 Товари з Італії 2.00 грн"
225,"Замарстинівська, 55г Близенько 1.50 грн"
180,"Замарстинівська,170б Близенько 1.50 грн"
258,"Замарстинівська,170н Близенько 2.00 грн"
172,"Зарицьких, 5 Близенько 2.00 грн"
326,Зелена 17 2.00 грн Сімі
239,"Князя Романа, 9 Близенько 2.00 грн"
230,"Котика, 9 Близенько 2.00 грн"
233,"Липинського, 29 Близенько 2.00 грн"
231,"Лисиничі, Шухевича, 5 Близенько 1.00 грн"
193,"Личаківська, 4/6 Близенько 2.00 грн"
157,"Личаківська, 70а Близенько 2.00 грн"
286,"Личаківська, 86 Близенько 2.00 грн"
186,"Личаківська,163 Близенько 2.00 грн"
328,"Мазепи, 26 Близенько 1.50 грн"
198,"Малоголосківська, 16 Близенько 2.00 грн"
188,"Миколайчука , 4а Близенько 2.00 грн"
61,"Наливайка, 20 Близенько 2.00 грн"
196,"Ніжинська,16 Близенько 2.00 грн"
59,"Очеретяна,10 Близенько 1.50 грн"
119,"Пекарська, 14 Близенько 2.00 грн"
238,"Під Голоском, 24б Близенько 1.50 грн"
86,"просп. Свободи, 1/3 Близенько 2.00 грн"
218,"просп.В.Чорновола, 7а Близенько 2.00 грн"
264,"просп.В.Чорновола, 55 Близенько 2.00 грн"
192,"просп.В.Чорновола, 67ж Близенько 1.50 грн"
124,"просп.В.Чорновола, 69 Близенько 2.00 грн"
113,"просп.В.Чорновола,101 Близенько 2.00 грн"
12,"Січових Стрільців, 13 Близенько 2.00 грн"
122,"Тичини, 14 Близенько 2.00 грн"
319,"Тракт Глинянський, 163 Сімі 1.50 грн"
112,"Франка, 69 Близенько 2.00 грн"
246,"Хмельницького, 257 Близенько 2,00 грн"
185,"Хмельницького, 76 Близенько 2.00 грн"
123,"Щурата, 9 Близенько 1.50 грн"
283,"Під Дубом,17 2.00 грн"
322,"Шолом-Алейхема, 20 Сімі 2.00 грн"
107,"Ветеранів, 5 ОСББ 1.50 грн"
