153,"Антонича, 6 Близенько 2.00 грн"
240,"Багряного, 39 Близенько 2.00 грн"
297,"Біберовича, 11 Близенько 1.50 грн"
236,"Брюховицька, 143 Близенько 2.00 грн"
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн"
243,"Брюховичі Львівська, 92 Близенько 2.00 грн"
254,"Вашингтона, 4в Близенько 2.00 грн"
202,"Виговського, 5 Свій Маркет 2.00 грн"
52,"Виговського, 5б Близенько 1.50 грн"
178,"Генерала Тарнавського, 104б Близенько 2.00 грн"
305,"Гориня, 39 Близенько 1.50 грн"
212,"Городоцька, 213 Близенько 1.50 грн"
269,"Городоцька, 226а Близенько 2.00 грн"
114,"Демнянська, 26 Близенько 1.50 грн"
226,"Дністерська, 1 Близенько 1.50 грн"
87,"Довженка, 5 Близенько 1.50 грн"
118,"Драгана, 4б Близенько 2.00 грн"
108,"Дунайська, 7 Близенько 2.00 грн"
165,"Зелена, 204 Близенько 2.00 грн"
280,"Зелена, 44 Близенько 2.00 грн"
57,"Зимна Вода, Тичини, 9 Близенько 1.50 грн"
282,"Йосифа Сліпого, 22 Близенько 2.00 грн"
242,"Караджича, 29б Рукавичка2.00 грн"
336,"Кубійовича, 31 Близенько 2.0"
184,"Кульпарківська, 135 Близенько 2.00 грн"
109,"Кульпарківська, 230 Близенько 2.00 грн"
335,"Лазаренка,1 Бл 1.50 грн"
292,"Лапаївка, Геофізиків,17 Близенько 2.00 грн"
54,"Левицького, 43а Кишенька 2.00 грн"
85,"Левицького,106 Penkermarket 2.00 грн"
232,"Липова алея, 1 Близенько 1.50 грн"
203,"Медової печери, 65 Близенько 1.50 грн"
60,"Мечнікова, 16е Близенько 2.00 грн"
298,"Освицька, 1 Близенько 1.00 грн"
281,"Пасічна, 84а Близенько 2.00 грн"
227,"Пасічна,171 Близенько 2.00 грн"
208,"Петлюри, 2а Кафе 2.00 грн"
314,"Пулюя, 29 Близенько 2.00 грн"
279,"Пулюя, 40 Близенько 1.50 грн"
53,"Родини Крушельницьких,1а Близенько 2.00 грн"
296,"Садівнича, 27 Близенько 2.00 грн"
183,"Скорини, 44 Близенько 1.50 грн"
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн"
244,"Стрийська, 45в Близенько 1.50 грн"
127,"Стрийська, 51 Близенько 2.00 грн"
316,"Стрийська,108 ЖК Національний 1.50 грн"
174,"Тернопільська, 8 Близенько 2.00 грн"
56,"Тернопільська, 21 Близенько 1.50 грн"
163,Левицького 15
311,"Коломийська,7 Близенько 1.00 грн"
200,"Трускавецька, 129 Близенько 2.00 грн"
155,"Угорська, 12 Близенько 1.50 грн"
206,"Угорська, 14б Близенько 2.00 грн"
104,"Шевченка,111 Близенько 1.50 грн"
211,"Яворницького, 8 Близенько 2.00 грн"
249,"Віденська,9 Рукавичка 1.50 грн"
277,"Кавалерідзе,23 Сім23 1.50 грн"
58,"Куровця,36 Рукавичка 1.50 грн"
